id,price_doc
30474,6242067.5
30475,8856177.0
30476,5715429.5
30477,6638840.0
30478,5032727.0
30479,9792600.0
30480,4530697.5
30481,4469844.0
30482,5325230.5
30483,5248426.5
30484,6549048.0
30485,5024923.5
30486,4341253.0
30487,4311531.5
30488,7001172.0
30489,6662378.5
30490,26445968.0
30491,18715412.0
30492,6282868.5
30493,14071878.0
30494,7508950.5
30495,11492015.0
30496,9162301.0
30497,8946251.0
30498,4642891.5
30499,6754338.0
30500,12317208.0
30501,7286498.5
30502,3062109.25
30503,5396553.5
30504,6070097.0
30505,11812765.0
30506,3210505.75
30507,4992575.5
30508,5958608.5
30509,8066722.0
30510,9688270.0
30511,6041651.5
30512,6215904.5
30513,4540610.5
30514,3856205.0
30515,10237016.0
30516,6076018.5
30517,11294716.0
30518,7663461.0
30519,4689937.0
30520,7678490.0
30521,5087284.5
30522,7360428.5
30523,7234106.0
30524,10179519.0
30525,10228106.0
30526,4939390.5
30527,5657950.0
30528,6749455.0
30529,7570776.5
30530,6753172.0
30531,15851775.0
30532,4896571.5
30533,11908756.0
30534,7541175.0
30535,9827980.0
30536,6186540.5
30537,13545062.0
30538,4782735.5
30539,9875802.0
30540,9914126.0
30541,6148041.0
30542,2100764.5
30543,6215707.0
30544,6147401.5
30545,8849165.0
30546,4540280.0
30547,11222222.0
30548,4815253.5
30549,5255701.5
30550,13353463.0
30551,5603160.0
30552,1938327.75
30553,7123741.0
30554,10595732.0
30555,6752848.5
30556,9643238.0
30557,7033425.0
30558,9511436.0
30559,6085017.5
30560,6044088.5
30561,7792113.0
30562,13942340.0
30563,4992451.5
30564,8116367.5
30565,6839540.5
30566,7489089.0
30567,2115830.25
30568,11710668.0
30569,11343839.0
30570,7369725.5
30571,7983785.0
30572,5037613.0
30573,6520224.0
30574,7271337.0
30575,8003951.0
30576,5154290.0
30577,3336926.75
30578,3379817.5
30579,7856771.0
30580,4497503.0
30581,5601384.5
30582,13319070.0
30583,7552747.5
30584,4578222.5
30585,3205173.25
30586,9137736.0
30587,6120228.5
30588,7472711.0
30589,7236915.0
30590,12613264.0
30591,5446894.0
30592,6714928.5
30593,8879067.0
30594,7515800.0
30595,5597696.0
30596,6834250.0
30597,6490335.5
30598,9859508.0
30599,9709300.0
30600,5676334.0
30601,6608631.0
30602,1914649.0
30603,12769925.0
30604,4816248.5
30605,6958207.5
30606,25450710.0
30607,6922570.5
30608,9629008.0
30609,6594325.0
30610,3064913.75
30611,5887668.5
30612,7267517.0
30613,9207688.0
30614,18674846.0
30615,8371068.0
30616,6072141.5
30617,10508292.0
30618,5657577.0
30619,4397217.5
30620,2846154.0
30621,9648473.0
30622,8221000.0
30623,6463825.0
30624,7115208.5
30625,7770339.5
30626,6367500.0
30627,6649791.5
30628,6422394.5
30629,5504999.0
30630,5152343.5
30631,6598057.5
30632,4638284.5
30633,6522711.0
30634,13296660.0
30635,9983275.0
30636,5754394.0
30637,9948652.0
30638,6280065.5
30639,8123509.0
30640,4848013.0
30641,8296463.0
30642,7073035.0
30643,8463432.0
30644,9981080.0
30645,7448911.0
30646,5717129.5
30647,5218734.5
30648,25797946.0
30649,2584175.0
30650,5534981.0
30651,3298029.75
30652,4930567.5
